transaction_id,client_id,transaction_amount,transaction_type,transaction_score_from_business_rules,ml_anomaly_flag,ml_anomaly_score,ml_risk_score,ml_risk_category,reason,triggered_rules
117,6,3477,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
118,6,3826,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
119,6,35218,Investment,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
120,6,43690,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
121,6,3219,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
122,6,2096,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
123,6,36329,Deposit,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
124,6,2901,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
125,6,2166,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
126,6,4606,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
128,6,37974,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
130,6,4922,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
131,6,2245,Transfer,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
132,6,2100,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
133,6,2906,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
134,6,4105,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
135,6,2530,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
136,7,3202,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
137,7,3092,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
138,7,3856,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
139,7,2299,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
140,7,2580,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
141,7,3952,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
142,7,2501,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
143,7,2245,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
144,7,2949,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
145,7,3198,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
146,7,3187,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
147,7,4854,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
148,7,42210,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
149,7,3026,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
150,7,4631,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
151,7,3079,Withdrawal,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
152,7,2395,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
153,7,2201,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
155,7,4656,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
156,7,3245,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
157,7,2689,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
158,7,4679,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
159,7,18384,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
160,7,4858,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
161,7,4350,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
162,7,27974,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
163,8,35587,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
164,8,3370,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
165,8,4246,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
166,8,24635,Deposit,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
167,8,3352,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
168,8,4665,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
169,8,3651,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
170,8,4742,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
171,8,49776,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
172,8,2148,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
174,8,2619,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
175,8,3725,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
176,8,29650,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
178,8,4844,Transfer,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
179,8,2672,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
180,8,4099,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
181,8,4467,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
182,8,2613,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
183,8,3840,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
184,8,41253,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
185,8,4233,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
187,8,4608,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
188,8,18818,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
189,8,4962,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
190,8,42406,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
191,8,2015,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
192,8,3238,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
196,9,28302,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
198,9,32135,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
204,9,26289,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
213,10,36578,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
215,10,41385,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
218,10,39815,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
221,10,4242,Withdrawal,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
222,10,48664,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
246,10,4888,Deposit,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
248,10,24546,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
250,10,2258,Withdrawal,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
254,11,4582,Transfer,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
256,11,28361,Withdrawal,2.6,-1,-0.3200951546419447,100.0,Suspicious,"large_tx_flag, dest_high_risk, cross_border_to_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
261,12,19161,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
265,12,35482,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
269,12,44550,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
275,13,33003,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
286,13,11546,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
294,13,48568,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
303,13,12684,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
304,13,13774,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
306,13,24628,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
307,13,34086,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
310,13,47252,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
317,14,16511,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
321,14,4222,Investment,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
327,14,12124,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
333,14,25579,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
336,14,43823,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
340,14,47606,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
350,14,14209,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
351,14,31206,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
374,15,24451,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
393,16,46074,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
394,16,15659,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
409,16,15971,Withdrawal,2.6,-1,-0.3200951546419447,100.0,Suspicious,"large_tx_flag, dest_high_risk, cross_border_to_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
417,16,23518,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
428,16,44323,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
443,17,43126,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
453,17,38715,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
458,17,4074,Deposit,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
463,17,11008,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
467,17,36088,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
470,17,14640,Investment,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
472,17,37875,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
473,18,3975,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
474,18,3478,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
475,18,2760,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
476,18,3287,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
477,18,46855,Deposit,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
479,18,2686,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
480,18,49730,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
481,18,4760,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
482,18,3562,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
483,18,4502,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
484,18,2924,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
485,18,42964,Deposit,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
486,18,3771,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
487,18,39039,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
488,18,3313,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
489,18,3988,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
490,18,4606,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
491,18,3948,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
492,18,4433,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
493,18,29358,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
494,18,3902,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
496,18,4450,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
498,18,2859,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
499,18,4778,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
500,18,3356,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
501,18,2921,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
502,18,2110,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
503,18,4835,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
504,18,2007,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
505,18,4846,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
506,18,2937,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
507,19,3967,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
508,19,3848,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
