transaction_id,client_id,transaction_amount,transaction_date,transaction_type,status,origin_country,destination_country
32,1,30093,2025-09-13,Transfer,Completed,Russia,Russia
33,1,21691,2025-08-08,Transfer,Completed,Russia,Russia
34,1,4409,2025-08-05,Transfer,Completed,Russia,Russia
35,1,3772,2025-07-28,Transfer,Completed,Russia,Canada
36,1,4708,2025-08-13,Deposit,Completed,Russia,China
37,1,2312,2025-09-03,Withdrawal,Completed,Russia,Russia
38,1,4213,2025-09-25,Investment,Completed,Russia,Russia
39,1,3030,2025-09-14,Withdrawal,Completed,Russia,Russia
40,1,2567,2025-10-08,Deposit,Completed,Russia,Russia
41,2,42972,2025-09-03,Withdrawal,Pending,Nigeria,Nigeria
42,2,3222,2025-10-07,Withdrawal,Completed,Nigeria,Nigeria
43,2,43998,2025-10-05,Investment,Completed,Nigeria,Nigeria
44,2,3573,2025-08-12,Withdrawal,Completed,Nigeria,Nigeria
45,2,3117,2025-08-06,Deposit,Completed,Nigeria,Nigeria
46,2,3036,2025-08-02,Deposit,Completed,Nigeria,Nigeria
47,2,3630,2025-10-05,Deposit,Completed,Nigeria,Nigeria
48,2,4686,2025-08-13,Withdrawal,Pending,Nigeria,Nigeria
49,2,2498,2025-10-06,Withdrawal,Pending,Nigeria,Nigeria
50,2,3492,2025-09-24,Investment,Completed,Nigeria,Australia
51,2,3270,2025-07-16,Withdrawal,Completed,Nigeria,UK
52,2,3895,2025-08-31,Investment,Completed,Nigeria,Nigeria
53,2,2834,2025-08-01,Transfer,Completed,Nigeria,Nigeria
54,2,3781,2025-08-27,Withdrawal,Completed,Nigeria,Nigeria
55,2,3630,2025-09-22,Withdrawal,Completed,Nigeria,Nigeria
56,2,3447,2025-09-03,Investment,Completed,Nigeria,Nigeria
57,2,4105,2025-07-28,Transfer,Completed,Nigeria,Russia
58,2,2262,2025-07-28,Deposit,Completed,Nigeria,Nigeria
59,2,4118,2025-10-04,Deposit,Completed,Nigeria,Nigeria
60,2,3473,2025-08-13,Investment,Completed,Nigeria,Nigeria
61,2,2903,2025-07-26,Deposit,Completed,Nigeria,Nigeria
62,2,3489,2025-08-21,Investment,Completed,Nigeria,USA
63,2,4819,2025-08-26,Investment,Completed,Nigeria,Nigeria
64,2,2208,2025-07-21,Deposit,Completed,Nigeria,Russia
65,2,4048,2025-08-19,Withdrawal,Completed,Nigeria,Nigeria
66,2,4640,2025-07-28,Investment,Completed,Nigeria,Switzerland
67,3,4895,2025-08-07,Investment,Completed,Russia,Russia
68,3,28984,2025-09-25,Deposit,Completed,Russia,Russia
69,3,4312,2025-09-22,Withdrawal,Completed,Russia,Russia
70,3,3598,2025-08-29,Deposit,Completed,Russia,UK
71,3,3641,2025-08-16,Transfer,Completed,Russia,UK
72,4,3405,2025-09-06,Transfer,Completed,Australia,Australia
73,4,3362,2025-08-10,Investment,Pending,Australia,Australia
74,4,2100,2025-10-05,Investment,Completed,Australia,Australia
75,4,2753,2025-07-16,Deposit,Pending,Australia,Australia
76,4,2155,2025-08-17,Withdrawal,Completed,Australia,Australia
77,4,4842,2025-09-21,Withdrawal,Completed,Australia,Australia
78,4,2313,2025-09-27,Deposit,Completed,Australia,Australia
79,4,4735,2025-10-01,Withdrawal,Completed,Australia,Australia
80,4,2348,2025-09-18,Deposit,Completed,Australia,Australia
81,4,3840,2025-08-28,Withdrawal,Completed,Australia,Australia
82,4,4502,2025-07-24,Transfer,Completed,Australia,Australia
83,4,4056,2025-08-22,Withdrawal,Pending,Australia,Australia
84,4,4623,2025-09-24,Deposit,Completed,Australia,Australia
85,4,3711,2025-09-14,Deposit,Completed,Australia,Russia
86,4,2833,2025-08-20,Withdrawal,Completed,Australia,Australia
87,4,4262,2025-08-31,Investment,Completed,Australia,Australia
88,4,2432,2025-09-05,Withdrawal,Completed,Australia,Australia
89,4,2938,2025-09-27,Deposit,Completed,Australia,Australia
90,4,3541,2025-09-26,Transfer,Completed,Australia,Australia
91,4,33698,2025-08-04,Withdrawal,Completed,Australia,Australia
92,4,48765,2025-09-22,Deposit,Completed,Australia,Australia
93,4,2920,2025-10-08,Deposit,Completed,Australia,Australia
94,4,3312,2025-09-13,Transfer,Completed,Australia,Australia
95,4,29254,2025-07-28,Withdrawal,Completed,Australia,Australia
96,4,2572,2025-08-02,Deposit,Completed,Australia,China
97,4,2215,2025-07-17,Withdrawal,Completed,Australia,Germany
98,4,23877,2025-10-03,Withdrawal,Completed,Australia,Australia
99,4,3915,2025-09-02,Transfer,Completed,Australia,Australia
100,4,4364,2025-09-21,Deposit,Completed,Australia,Australia
101,4,4800,2025-08-27,Transfer,Completed,Australia,Australia
102,5,49462,2025-08-21,Investment,Completed,Nigeria,Nigeria
103,5,3889,2025-10-04,Transfer,Completed,Nigeria,Nigeria
104,5,3190,2025-10-09,Transfer,Completed,Nigeria,Nigeria
105,5,3695,2025-09-30,Withdrawal,Completed,Nigeria,Nigeria
106,5,3503,2025-09-28,Investment,Completed,Nigeria,Nigeria
107,5,23528,2025-08-07,Transfer,Completed,Nigeria,Australia
108,6,2037,2025-09-17,Withdrawal,Completed,Russia,Russia
109,6,3183,2025-08-19,Deposit,Completed,Russia,Russia
110,6,3794,2025-09-04,Deposit,Completed,Russia,Russia
111,6,25471,2025-09-16,Withdrawal,Completed,Russia,Russia
112,6,2066,2025-08-26,Deposit,Completed,Russia,Russia
113,6,4056,2025-09-24,Withdrawal,Completed,Russia,Russia
114,6,3463,2025-09-11,Deposit,Completed,Russia,Russia
115,6,3589,2025-07-21,Withdrawal,Completed,Russia,Australia
116,6,3805,2025-10-13,Deposit,Completed,Russia,Germany
117,6,3477,2025-09-09,Transfer,Completed,Russia,Russia
118,6,3826,2025-09-06,Deposit,Pending,Russia,Russia
119,6,35218,2025-08-24,Investment,Failed,Russia,Russia
120,6,43690,2025-09-01,Transfer,Completed,Russia,Russia
121,6,3219,2025-09-23,Transfer,Completed,Russia,Russia
122,6,2096,2025-09-02,Transfer,Completed,Russia,Russia
123,6,36329,2025-08-14,Deposit,Completed,Russia,Russia
124,6,2901,2025-07-18,Deposit,Completed,Russia,Russia
125,6,2166,2025-09-09,Withdrawal,Pending,Russia,Russia
126,6,4606,2025-07-19,Deposit,Completed,Russia,Russia
127,6,2370,2025-09-14,Deposit,Completed,Russia,China
128,6,37974,2025-10-03,Investment,Completed,Russia,USA
129,6,3122,2025-07-25,Transfer,Completed,Russia,UAE
130,6,4922,2025-10-02,Deposit,Completed,Russia,Russia
131,6,2245,2025-08-01,Transfer,Completed,Russia,Nigeria
132,6,2100,2025-10-06,Deposit,Completed,Russia,Russia
133,6,2906,2025-09-14,Investment,Completed,Russia,Russia
134,6,4105,2025-08-12,Deposit,Completed,Russia,Russia
135,6,2530,2025-09-10,Investment,Completed,Russia,Russia
136,7,3202,2025-09-23,Withdrawal,Pending,Nigeria,Nigeria
137,7,3092,2025-08-25,Withdrawal,Pending,Nigeria,Nigeria
138,7,3856,2025-08-07,Deposit,Completed,Nigeria,Nigeria
139,7,2299,2025-07-19,Deposit,Completed,Nigeria,Nigeria
140,7,2580,2025-08-15,Investment,Completed,Nigeria,Nigeria
141,7,3952,2025-10-08,Investment,Completed,Nigeria,Nigeria
142,7,2501,2025-09-14,Transfer,Completed,Nigeria,Nigeria
143,7,2245,2025-07-25,Withdrawal,Completed,Nigeria,Nigeria
144,7,2949,2025-07-29,Investment,Completed,Nigeria,Nigeria
145,7,3198,2025-08-18,Investment,Completed,Nigeria,Nigeria
146,7,3187,2025-08-06,Deposit,Completed,Nigeria,Nigeria
147,7,4854,2025-10-09,Withdrawal,Completed,Nigeria,Nigeria
148,7,42210,2025-09-05,Transfer,Completed,Nigeria,Nigeria
149,7,3026,2025-07-25,Investment,Completed,Nigeria,Nigeria
150,7,4631,2025-08-02,Investment,Completed,Nigeria,Nigeria
151,7,3079,2025-09-14,Withdrawal,Pending,Nigeria,Russia
152,7,2395,2025-10-12,Investment,Completed,Nigeria,Nigeria
153,7,2201,2025-07-23,Deposit,Completed,Nigeria,Nigeria
154,7,3446,2025-08-01,Transfer,Completed,Nigeria,UK
155,7,4656,2025-09-22,Withdrawal,Completed,Nigeria,Nigeria
156,7,3245,2025-09-26,Transfer,Pending,Nigeria,Nigeria
157,7,2689,2025-08-23,Investment,Completed,Nigeria,Nigeria
158,7,4679,2025-07-18,Withdrawal,Completed,Nigeria,Nigeria
159,7,18384,2025-09-17,Withdrawal,Completed,Nigeria,Nigeria
160,7,4858,2025-10-01,Transfer,Pending,Nigeria,Nigeria
161,7,4350,2025-08-02,Investment,Failed,Nigeria,Nigeria
162,7,27974,2025-09-05,Transfer,Completed,Nigeria,Nigeria
163,8,35587,2025-08-26,Investment,Completed,Nigeria,Germany
164,8,3370,2025-07-16,Investment,Completed,Nigeria,Nigeria
165,8,4246,2025-07-27,Withdrawal,Completed,Nigeria,Nigeria
166,8,24635,2025-08-27,Deposit,Completed,Nigeria,Nigeria
167,8,3352,2025-09-27,Transfer,Completed,Nigeria,Nigeria
168,8,4665,2025-08-03,Investment,Completed,Nigeria,Nigeria
169,8,3651,2025-09-30,Withdrawal,Completed,Nigeria,Nigeria
170,8,4742,2025-10-05,Transfer,Pending,Nigeria,Nigeria
171,8,49776,2025-07-25,Withdrawal,Completed,Nigeria,Nigeria
172,8,2148,2025-09-29,Investment,Completed,Nigeria,Nigeria
173,8,4352,2025-10-08,Transfer,Completed,Nigeria,China
174,8,2619,2025-08-17,Deposit,Completed,Nigeria,Nigeria
175,8,3725,2025-07-23,Deposit,Completed,Nigeria,Nigeria
176,8,29650,2025-07-28,Transfer,Completed,Nigeria,Nigeria
177,8,4345,2025-09-13,Deposit,Completed,Nigeria,Australia
178,8,4844,2025-09-20,Transfer,Completed,Nigeria,Russia
179,8,2672,2025-09-29,Withdrawal,Completed,Nigeria,Nigeria
180,8,4099,2025-10-13,Investment,Completed,Nigeria,Nigeria
181,8,4467,2025-09-10,Deposit,Failed,Nigeria,Nigeria
182,8,2613,2025-10-04,Transfer,Completed,Nigeria,Nigeria
183,8,3840,2025-08-20,Investment,Pending,Nigeria,Nigeria
184,8,41253,2025-10-09,Withdrawal,Pending,Nigeria,Nigeria
185,8,4233,2025-08-06,Investment,Pending,Nigeria,Nigeria
186,8,3204,2025-10-07,Transfer,Completed,Nigeria,Germany
187,8,4608,2025-09-17,Transfer,Completed,Nigeria,Nigeria
188,8,18818,2025-07-31,Withdrawal,Completed,Nigeria,Nigeria
189,8,4962,2025-10-07,Transfer,Completed,Nigeria,Nigeria
190,8,42406,2025-08-13,Transfer,Completed,Nigeria,UAE
191,8,2015,2025-08-30,Deposit,Completed,Nigeria,Nigeria
192,8,3238,2025-09-11,Withdrawal,Completed,Nigeria,Nigeria
193,9,3150,2025-07-27,Investment,Pending,Switzerland,Switzerland
194,9,4025,2025-07-16,Investment,Failed,Switzerland,Switzerland
195,9,4844,2025-09-29,Withdrawal,Completed,Switzerland,Switzerland
196,9,28302,2025-09-19,Withdrawal,Completed,Switzerland,Switzerland
197,9,2832,2025-10-03,Investment,Pending,Switzerland,Switzerland
198,9,32135,2025-09-15,Withdrawal,Completed,Switzerland,Switzerland
199,9,2656,2025-09-09,Investment,Completed,Switzerland,Switzerland
200,9,2256,2025-09-11,Deposit,Failed,Switzerland,Switzerland
201,9,3605,2025-10-13,Transfer,Completed,Switzerland,Switzerland
202,9,3596,2025-10-11,Withdrawal,Completed,Switzerland,Switzerland
203,9,3631,2025-08-15,Investment,Completed,Switzerland,Switzerland
204,9,26289,2025-09-14,Investment,Completed,Switzerland,Switzerland
205,9,2887,2025-09-26,Transfer,Completed,Switzerland,Switzerland
206,9,3175,2025-07-28,Withdrawal,Completed,Switzerland,Switzerland
207,9,2840,2025-10-08,Withdrawal,Completed,Switzerland,Canada
208,9,3841,2025-08-23,Investment,Completed,Switzerland,Switzerland
209,9,2591,2025-10-11,Deposit,Completed,Switzerland,Switzerland
210,9,3946,2025-07-20,Transfer,Completed,Switzerland,Switzerland
211,9,4027,2025-08-11,Withdrawal,Completed,Switzerland,Switzerland
212,9,4993,2025-08-31,Investment,Completed,Switzerland,Switzerland
213,10,36578,2025-09-25,Transfer,Completed,Germany,Switzerland
214,10,3873,2025-09-24,Investment,Failed,Germany,Germany
215,10,41385,2025-08-21,Deposit,Completed,Germany,Germany
216,10,2381,2025-08-13,Investment,Completed,Germany,Germany
217,10,2431,2025-10-01,Withdrawal,Completed,Germany,Germany
218,10,39815,2025-08-03,Deposit,Completed,Germany,Germany
219,10,3694,2025-09-29,Transfer,Pending,Germany,Germany
220,10,2831,2025-09-05,Transfer,Completed,Germany,Germany
221,10,4242,2025-10-13,Withdrawal,Completed,Germany,Russia
222,10,48664,2025-09-21,Transfer,Completed,Germany,Germany
223,10,2948,2025-07-19,Investment,Completed,Germany,USA
224,10,2300,2025-08-19,Deposit,Pending,Germany,Germany
225,10,4390,2025-10-05,Withdrawal,Completed,Germany,Germany
226,10,4214,2025-07-27,Withdrawal,Completed,Germany,Germany
227,10,4003,2025-08-14,Deposit,Completed,Germany,Germany
228,10,4639,2025-07-25,Transfer,Completed,Germany,Germany
229,10,4021,2025-09-22,Investment,Completed,Germany,Germany
230,10,3508,2025-10-03,Withdrawal,Completed,Germany,Germany
231,10,3742,2025-10-08,Investment,Pending,Germany,Germany
232,10,2333,2025-08-03,Withdrawal,Pending,Germany,Germany
233,10,3071,2025-08-10,Transfer,Completed,Germany,China
234,10,4775,2025-07-28,Withdrawal,Completed,Germany,Germany
235,10,2262,2025-08-06,Investment,Completed,Germany,Germany
236,10,3414,2025-09-29,Deposit,Failed,Germany,Germany
237,10,2433,2025-09-28,Withdrawal,Completed,Germany,Germany
238,10,2709,2025-10-01,Investment,Completed,Germany,Germany
239,10,4814,2025-08-17,Investment,Completed,Germany,Germany
240,10,3760,2025-07-20,Investment,Completed,Germany,Germany
241,10,3768,2025-07-19,Withdrawal,Failed,Germany,Germany
242,10,4910,2025-08-05,Transfer,Completed,Germany,Germany
243,10,3897,2025-09-08,Withdrawal,Completed,Germany,Germany
244,10,3848,2025-09-21,Investment,Completed,Germany,Germany
245,10,3931,2025-09-02,Investment,Completed,Germany,Germany
246,10,4888,2025-08-21,Deposit,Completed,Germany,Russia
247,10,2086,2025-08-11,Deposit,Completed,Germany,Germany
248,10,24546,2025-09-25,Investment,Completed,Germany,Germany
249,10,2083,2025-10-13,Deposit,Completed,Germany,Germany
250,10,2258,2025-07-26,Withdrawal,Completed,Germany,Nigeria
251,10,4480,2025-10-04,Deposit,Completed,Germany,Germany
252,10,4573,2025-08-31,Investment,Completed,Germany,Germany
253,11,4418,2025-09-11,Withdrawal,Completed,Germany,Germany
254,11,4582,2025-09-23,Transfer,Completed,Germany,Nigeria
255,11,3397,2025-08-09,Transfer,Completed,Germany,Germany
256,11,28361,2025-09-11,Withdrawal,Failed,Germany,Russia
257,11,4448,2025-09-10,Deposit,Completed,Germany,Germany
258,12,3861,2025-10-07,Transfer,Completed,Switzerland,Switzerland
259,12,4534,2025-09-09,Investment,Pending,Switzerland,Switzerland
260,12,2990,2025-09-11,Withdrawal,Completed,Switzerland,USA
261,12,19161,2025-08-31,Deposit,Completed,Switzerland,Switzerland
262,12,3552,2025-09-16,Transfer,Completed,Switzerland,Switzerland
263,12,4151,2025-08-29,Deposit,Completed,Switzerland,Switzerland
264,12,2596,2025-09-29,Transfer,Completed,Switzerland,Switzerland
265,12,35482,2025-08-09,Investment,Completed,Switzerland,Switzerland
266,12,2062,2025-09-22,Deposit,Completed,Switzerland,Canada
267,12,3350,2025-09-12,Withdrawal,Completed,Switzerland,USA
268,12,2125,2025-10-02,Investment,Failed,Switzerland,Switzerland
269,12,44550,2025-07-16,Deposit,Failed,Switzerland,UAE
270,12,3606,2025-08-20,Transfer,Completed,Switzerland,Switzerland
271,12,4215,2025-08-27,Deposit,Completed,Switzerland,Switzerland
272,12,4737,2025-07-30,Deposit,Completed,Switzerland,Switzerland
273,13,2855,2025-07-22,Investment,Completed,Canada,Canada
274,13,3526,2025-09-23,Withdrawal,Completed,Canada,Canada
275,13,33003,2025-09-30,Withdrawal,Completed,Canada,UK
276,13,3029,2025-10-07,Investment,Completed,Canada,Canada
277,13,3396,2025-08-16,Withdrawal,Completed,Canada,China
278,13,3499,2025-07-16,Transfer,Completed,Canada,Canada
279,13,3465,2025-07-24,Withdrawal,Completed,Canada,Canada
280,13,4978,2025-08-24,Withdrawal,Completed,Canada,Germany
281,13,2164,2025-09-02,Transfer,Completed,Canada,Canada
282,13,3747,2025-09-01,Investment,Completed,Canada,Canada
283,13,4910,2025-09-08,Transfer,Completed,Canada,Switzerland
284,13,4349,2025-08-28,Transfer,Completed,Canada,Canada
285,13,4350,2025-07-16,Transfer,Completed,Canada,Canada
286,13,11546,2025-09-25,Withdrawal,Completed,Canada,Canada
287,13,3595,2025-09-23,Investment,Completed,Canada,Australia
288,13,4480,2025-09-06,Transfer,Completed,Canada,Canada
289,13,2231,2025-08-19,Investment,Completed,Canada,Canada
290,13,2856,2025-09-29,Investment,Completed,Canada,Canada
291,13,4835,2025-09-13,Withdrawal,Completed,Canada,Canada
292,13,3946,2025-10-08,Transfer,Pending,Canada,Canada
293,13,4956,2025-10-01,Withdrawal,Completed,Canada,Canada
294,13,48568,2025-08-17,Deposit,Completed,Canada,Canada
295,13,3265,2025-09-10,Investment,Completed,Canada,Canada
296,13,4577,2025-08-16,Transfer,Completed,Canada,Canada
297,13,3872,2025-07-21,Investment,Completed,Canada,Canada
298,13,3626,2025-08-08,Transfer,Completed,Canada,UK
299,13,4851,2025-08-03,Investment,Pending,Canada,Canada
300,13,4955,2025-08-23,Transfer,Completed,Canada,USA
301,13,4655,2025-10-03,Investment,Completed,Canada,Canada
302,13,4949,2025-07-19,Deposit,Completed,Canada,UK
303,13,12684,2025-07-31,Withdrawal,Completed,Canada,Canada
304,13,13774,2025-09-20,Deposit,Completed,Canada,Canada
305,13,4256,2025-08-29,Withdrawal,Completed,Canada,Canada
306,13,24628,2025-08-20,Investment,Completed,Canada,Canada
307,13,34086,2025-08-07,Deposit,Completed,Canada,Canada
308,13,4525,2025-07-18,Investment,Completed,Canada,Canada
309,13,2161,2025-08-01,Withdrawal,Pending,Canada,Canada
310,13,47252,2025-10-02,Investment,Completed,Canada,USA
311,13,3021,2025-09-04,Withdrawal,Completed,Canada,Canada
312,13,2522,2025-09-06,Transfer,Pending,Canada,Canada
313,13,4196,2025-10-10,Transfer,Completed,Canada,Canada
314,14,2524,2025-10-09,Transfer,Completed,UK,UK
315,14,3949,2025-09-04,Withdrawal,Pending,UK,UK
316,14,2016,2025-09-19,Withdrawal,Completed,UK,UK
317,14,16511,2025-09-21,Transfer,Completed,UK,UK
318,14,2712,2025-09-26,Investment,Completed,UK,UK
319,14,3002,2025-09-24,Withdrawal,Completed,UK,UK
320,14,2909,2025-08-30,Investment,Completed,UK,UK
321,14,4222,2025-07-28,Investment,Completed,UK,Russia
322,14,3628,2025-09-29,Deposit,Pending,UK,UK
323,14,3383,2025-07-29,Transfer,Completed,UK,UK
324,14,3182,2025-07-21,Transfer,Completed,UK,UK
325,14,2622,2025-08-22,Investment,Failed,UK,UK
326,14,4036,2025-08-09,Transfer,Completed,UK,USA
327,14,12124,2025-09-26,Transfer,Completed,UK,UK
328,14,3608,2025-09-12,Deposit,Completed,UK,Australia
329,14,4838,2025-07-26,Deposit,Completed,UK,Switzerland
330,14,2930,2025-07-27,Transfer,Completed,UK,UK
331,14,2026,2025-10-05,Withdrawal,Completed,UK,UK
332,14,3493,2025-09-21,Investment,Completed,UK,UK
333,14,25579,2025-10-02,Withdrawal,Completed,UK,UK
334,14,4593,2025-08-02,Deposit,Pending,UK,China
335,14,3884,2025-08-17,Withdrawal,Completed,UK,UK
336,14,43823,2025-08-19,Withdrawal,Completed,UK,UK
337,14,3128,2025-09-20,Withdrawal,Completed,UK,UK
338,14,3704,2025-07-20,Transfer,Completed,UK,UK
339,14,3294,2025-09-16,Investment,Completed,UK,UAE
340,14,47606,2025-09-13,Investment,Completed,UK,UK
341,14,4493,2025-09-05,Investment,Completed,UK,UK
342,14,2662,2025-10-09,Withdrawal,Completed,UK,UK
343,14,3929,2025-09-03,Deposit,Completed,UK,UK
344,14,2787,2025-08-21,Investment,Completed,UK,UK
345,14,2020,2025-08-10,Transfer,Completed,UK,UK
346,14,3445,2025-10-13,Withdrawal,Completed,UK,UK
347,14,4596,2025-10-12,Investment,Completed,UK,Australia
348,14,3406,2025-08-17,Transfer,Pending,UK,UK
349,14,4056,2025-10-11,Transfer,Completed,UK,UK
350,14,14209,2025-09-18,Deposit,Completed,UK,UK
351,14,31206,2025-09-20,Investment,Completed,UK,UK
352,14,2187,2025-10-02,Investment,Completed,UK,USA
353,14,4263,2025-08-26,Deposit,Completed,UK,UK
354,14,2328,2025-08-31,Transfer,Completed,UK,UK
355,14,3973,2025-07-21,Deposit,Completed,UK,UK
356,14,3671,2025-07-21,Deposit,Pending,UK,Australia
357,14,3716,2025-09-03,Deposit,Completed,UK,UK
358,14,2998,2025-08-02,Investment,Completed,UK,UK
359,14,4884,2025-09-20,Transfer,Completed,UK,UK
360,14,2624,2025-09-01,Withdrawal,Pending,UK,UK
361,15,3308,2025-10-10,Transfer,Completed,Canada,Canada
362,15,2029,2025-07-31,Investment,Completed,Canada,Canada
363,15,3406,2025-09-15,Transfer,Completed,Canada,UAE
364,15,3781,2025-10-03,Deposit,Failed,Canada,Canada
365,15,4524,2025-09-01,Investment,Completed,Canada,Canada
366,15,4302,2025-08-01,Transfer,Pending,Canada,Canada
367,15,2195,2025-09-07,Withdrawal,Completed,Canada,Canada
368,15,2583,2025-08-31,Withdrawal,Completed,Canada,Canada
369,15,2733,2025-09-22,Investment,Pending,Canada,Canada
370,15,4360,2025-08-21,Withdrawal,Completed,Canada,Canada
371,15,2465,2025-08-16,Transfer,Completed,Canada,Canada
372,15,4542,2025-09-16,Transfer,Completed,Canada,UK
373,15,4280,2025-10-07,Deposit,Completed,Canada,Canada
374,15,24451,2025-08-25,Deposit,Completed,Canada,Canada
375,15,3152,2025-09-25,Investment,Completed,Canada,UK
376,15,3739,2025-07-27,Deposit,Completed,Canada,Canada
377,15,3341,2025-08-16,Investment,Completed,Canada,Canada
378,15,4948,2025-08-24,Withdrawal,Failed,Canada,Canada
379,15,3147,2025-08-21,Deposit,Completed,Canada,Canada
380,15,3064,2025-08-23,Withdrawal,Pending,Canada,Canada
381,15,3036,2025-09-28,Deposit,Completed,Canada,Canada
382,15,2022,2025-08-07,Investment,Completed,Canada,Canada
383,15,4398,2025-07-25,Investment,Completed,Canada,Canada
384,15,3368,2025-10-13,Deposit,Completed,Canada,Australia
385,15,4042,2025-09-04,Withdrawal,Completed,Canada,Canada
386,15,4995,2025-07-21,Investment,Completed,Canada,Canada
387,15,2460,2025-09-04,Deposit,Failed,Canada,Germany
388,16,2447,2025-07-29,Deposit,Completed,USA,UK
389,16,3142,2025-08-12,Transfer,Completed,USA,Germany
390,16,4833,2025-07-31,Transfer,Completed,USA,Australia
391,16,4070,2025-09-01,Withdrawal,Completed,USA,Canada
392,16,4477,2025-08-31,Withdrawal,Completed,USA,USA
393,16,46074,2025-08-02,Transfer,Completed,USA,USA
394,16,15659,2025-10-13,Deposit,Pending,USA,USA
395,16,4682,2025-07-19,Transfer,Completed,USA,USA
396,16,2395,2025-08-01,Withdrawal,Completed,USA,USA
397,16,3946,2025-09-12,Transfer,Completed,USA,USA
398,16,3374,2025-08-25,Investment,Completed,USA,Australia
399,16,2324,2025-10-04,Transfer,Completed,USA,USA
400,16,2646,2025-07-31,Withdrawal,Completed,USA,USA
401,16,4431,2025-09-08,Investment,Completed,USA,USA
402,16,3076,2025-08-15,Deposit,Completed,USA,USA
403,16,4089,2025-09-27,Investment,Completed,USA,USA
404,16,4300,2025-08-15,Investment,Completed,USA,UK
405,16,4108,2025-08-06,Deposit,Completed,USA,Australia
406,16,2474,2025-09-16,Deposit,Completed,USA,USA
407,16,3989,2025-09-24,Withdrawal,Completed,USA,USA
408,16,4130,2025-10-02,Withdrawal,Completed,USA,USA
409,16,15971,2025-08-13,Withdrawal,Completed,USA,Russia
410,16,3871,2025-09-16,Deposit,Completed,USA,USA
411,16,4920,2025-07-27,Deposit,Completed,USA,USA
412,16,4948,2025-07-31,Withdrawal,Completed,USA,USA
413,16,4620,2025-08-24,Transfer,Completed,USA,USA
414,16,2433,2025-08-30,Withdrawal,Completed,USA,USA
415,16,3150,2025-08-31,Investment,Completed,USA,USA
416,16,4505,2025-07-29,Investment,Completed,USA,USA
417,16,23518,2025-09-26,Deposit,Completed,USA,USA
418,16,4955,2025-08-22,Investment,Completed,USA,USA
419,16,2533,2025-09-17,Transfer,Completed,USA,USA
420,16,2743,2025-08-01,Deposit,Completed,USA,USA
421,16,3929,2025-07-20,Investment,Completed,USA,USA
422,16,3981,2025-07-17,Withdrawal,Completed,USA,USA
423,16,2629,2025-09-21,Deposit,Completed,USA,UK
424,16,3535,2025-07-19,Transfer,Completed,USA,USA
425,16,2989,2025-09-01,Transfer,Completed,USA,USA
426,16,4270,2025-08-24,Investment,Completed,USA,USA
427,16,4485,2025-10-03,Deposit,Completed,USA,USA
428,16,44323,2025-10-09,Investment,Completed,USA,UK
429,16,4024,2025-09-23,Deposit,Completed,USA,USA
430,16,2977,2025-09-06,Investment,Completed,USA,USA
431,16,2354,2025-09-24,Transfer,Completed,USA,USA
432,17,4131,2025-08-26,Deposit,Failed,USA,USA
433,17,4239,2025-07-21,Transfer,Completed,USA,USA
434,17,3676,2025-07-24,Withdrawal,Completed,USA,USA
435,17,2021,2025-08-27,Deposit,Completed,USA,USA
436,17,3570,2025-08-21,Transfer,Failed,USA,USA
