transaction_id,client_id,transaction_amount,transaction_date,transaction_type,status,origin_country,destination_country,name,country,age,kyc_status,customer_type,registration_date,origin_risk_level,origin_aml_score,destination_risk_level,destination_aml_score,document_type,doc_verification_status,doc_upload_date,days_since_transaction,days_since_registration,is_cross_border,cross_border_to_high_risk,ml_anomaly_flag,ml_anomaly_score,ml_risk_score,ml_risk_category,reason
58,2,2262,2025-07-28,Deposit,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,77,249,0,0,1,0.0,14.0,Normal,None
59,2,4118,2025-10-04,Deposit,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,9,249,0,0,1,0.0,14.0,Normal,None
60,2,3473,2025-08-13,Investment,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,61,249,0,0,1,0.0,14.0,Normal,None
61,2,2903,2025-07-26,Deposit,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,79,249,0,0,1,0.0,14.0,Normal,None
62,2,3489,2025-08-21,Investment,Completed,Nigeria,USA,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,Low,95,Bank Statement,Failed,2025-05-09,53,249,1,0,1,0.05210346042305769,0.0,Normal,None
63,2,4819,2025-08-26,Investment,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,48,249,0,0,1,0.0,14.0,Normal,None
64,2,2208,2025-07-21,Deposit,Completed,Nigeria,Russia,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,50,Bank Statement,Failed,2025-05-09,84,249,1,1,-1,-0.17607471840239736,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk"
65,2,4048,2025-08-19,Withdrawal,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,55,249,0,0,1,0.0,14.0,Normal,None
66,2,4640,2025-07-28,Investment,Completed,Nigeria,Switzerland,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,Medium,80,Bank Statement,Failed,2025-05-09,77,249,1,0,1,0.05210346042305769,0.0,Normal,None
67,3,4895,2025-08-07,Investment,Completed,Russia,Russia,Client_3,Russia,66,Verified,Corporate,2025-05-15,High,50,High,50,Passport,Verified,2025-09-06,67,151,0,0,1,0.0,14.0,Normal,None
68,3,28984,2025-09-25,Deposit,Completed,Russia,Russia,Client_3,Russia,66,Verified,Corporate,2025-05-15,High,50,High,50,Passport,Verified,2025-09-06,18,151,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
69,3,4312,2025-09-22,Withdrawal,Completed,Russia,Russia,Client_3,Russia,66,Verified,Corporate,2025-05-15,High,50,High,50,Passport,Verified,2025-09-06,21,151,0,0,1,0.0,14.0,Normal,None
70,3,3598,2025-08-29,Deposit,Completed,Russia,UK,Client_3,Russia,66,Verified,Corporate,2025-05-15,High,50,Low,92,Passport,Verified,2025-09-06,45,151,1,0,1,0.05210346042305769,0.0,Normal,None
71,3,3641,2025-08-16,Transfer,Completed,Russia,UK,Client_3,Russia,66,Verified,Corporate,2025-05-15,High,50,Low,92,Passport,Verified,2025-09-06,58,151,1,0,1,0.05210346042305769,0.0,Normal,None
72,4,3405,2025-09-06,Transfer,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,37,183,0,0,1,0.05210346042305769,0.0,Normal,None
73,4,3362,2025-08-10,Investment,Pending,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,64,183,0,0,1,0.05210346042305769,0.0,Normal,None
74,4,2100,2025-10-05,Investment,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,8,183,0,0,1,0.05210346042305769,0.0,Normal,None
75,4,2753,2025-07-16,Deposit,Pending,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,89,183,0,0,1,0.05210346042305769,0.0,Normal,None
76,4,2155,2025-08-17,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,57,183,0,0,1,0.05210346042305769,0.0,Normal,None
77,4,4842,2025-09-21,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,22,183,0,0,1,0.05210346042305769,0.0,Normal,None
78,4,2313,2025-09-27,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,16,183,0,0,1,0.05210346042305769,0.0,Normal,None
79,4,4735,2025-10-01,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,12,183,0,0,1,0.05210346042305769,0.0,Normal,None
80,4,2348,2025-09-18,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,25,183,0,0,1,0.05210346042305769,0.0,Normal,None
81,4,3840,2025-08-28,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,46,183,0,0,1,0.05210346042305769,0.0,Normal,None
82,4,4502,2025-07-24,Transfer,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,81,183,0,0,1,0.05210346042305769,0.0,Normal,None
83,4,4056,2025-08-22,Withdrawal,Pending,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,52,183,0,0,1,0.05210346042305769,0.0,Normal,None
84,4,4623,2025-09-24,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,19,183,0,0,1,0.05210346042305769,0.0,Normal,None
85,4,3711,2025-09-14,Deposit,Completed,Australia,Russia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,High,50,Utility Bill,Verified,2025-02-26,29,183,1,1,-1,-0.17607471840239736,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk"
86,4,2833,2025-08-20,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,54,183,0,0,1,0.05210346042305769,0.0,Normal,None
87,4,4262,2025-08-31,Investment,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,43,183,0,0,1,0.05210346042305769,0.0,Normal,None
88,4,2432,2025-09-05,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,38,183,0,0,1,0.05210346042305769,0.0,Normal,None
89,4,2938,2025-09-27,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,16,183,0,0,1,0.05210346042305769,0.0,Normal,None
90,4,3541,2025-09-26,Transfer,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,17,183,0,0,1,0.05210346042305769,0.0,Normal,None
91,4,33698,2025-08-04,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,70,183,0,0,-1,-0.20568789400886817,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag"
92,4,48765,2025-09-22,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,21,183,0,0,-1,-0.08544938784402462,36.96,Suspicious,large_tx_flag
93,4,2920,2025-10-08,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,5,183,0,0,1,0.05210346042305769,0.0,Normal,None
94,4,3312,2025-09-13,Transfer,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,30,183,0,0,1,0.05210346042305769,0.0,Normal,None
95,4,29254,2025-07-28,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,77,183,0,0,-1,-0.20568789400886817,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag"
96,4,2572,2025-08-02,Deposit,Completed,Australia,China,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Medium,65,Utility Bill,Verified,2025-02-26,72,183,1,0,1,0.05210346042305769,0.0,Normal,None
97,4,2215,2025-07-17,Withdrawal,Completed,Australia,Germany,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,94,Utility Bill,Verified,2025-02-26,88,183,1,0,1,0.05210346042305769,0.0,Normal,None
98,4,23877,2025-10-03,Withdrawal,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,10,183,0,0,-1,-0.20568789400886817,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag"
99,4,3915,2025-09-02,Transfer,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,41,183,0,0,1,0.05210346042305769,0.0,Normal,None
100,4,4364,2025-09-21,Deposit,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,22,183,0,0,1,0.05210346042305769,0.0,Normal,None
101,4,4800,2025-08-27,Transfer,Completed,Australia,Australia,Client_4,Australia,47,Verified,Corporate,2025-04-13,Low,91,Low,91,Utility Bill,Verified,2025-02-26,47,183,0,0,1,0.05210346042305769,0.0,Normal,None
102,5,49462,2025-08-21,Investment,Completed,Nigeria,Nigeria,Client_5,Nigeria,29,Verified,Business,2024-11-11,High,45,High,45,Utility Bill,Verified,2024-10-14,53,336,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
103,5,3889,2025-10-04,Transfer,Completed,Nigeria,Nigeria,Client_5,Nigeria,29,Verified,Business,2024-11-11,High,45,High,45,Utility Bill,Verified,2024-10-14,9,336,0,0,1,0.0,14.0,Normal,None
104,5,3190,2025-10-09,Transfer,Completed,Nigeria,Nigeria,Client_5,Nigeria,29,Verified,Business,2024-11-11,High,45,High,45,Utility Bill,Verified,2024-10-14,4,336,0,0,1,0.0,14.0,Normal,None
105,5,3695,2025-09-30,Withdrawal,Completed,Nigeria,Nigeria,Client_5,Nigeria,29,Verified,Business,2024-11-11,High,45,High,45,Utility Bill,Verified,2024-10-14,13,336,0,0,1,0.0,14.0,Normal,None
106,5,3503,2025-09-28,Investment,Completed,Nigeria,Nigeria,Client_5,Nigeria,29,Verified,Business,2024-11-11,High,45,High,45,Utility Bill,Verified,2024-10-14,15,336,0,0,1,0.0,14.0,Normal,None
107,5,23528,2025-08-07,Transfer,Completed,Nigeria,Australia,Client_5,Nigeria,29,Verified,Business,2024-11-11,High,45,Low,91,Utility Bill,Verified,2024-10-14,67,336,1,0,-1,-0.08544938784402462,36.96,Suspicious,large_tx_flag
108,6,2037,2025-09-17,Withdrawal,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,26,95,0,0,1,0.0,14.0,Normal,None
109,6,3183,2025-08-19,Deposit,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,55,95,0,0,1,0.0,14.0,Normal,None
110,6,3794,2025-09-04,Deposit,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,39,95,0,0,1,0.0,14.0,Normal,None
111,6,25471,2025-09-16,Withdrawal,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,27,95,0,0,-1,-0.26603677087854366,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag"
112,6,2066,2025-08-26,Deposit,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,48,95,0,0,1,0.0,14.0,Normal,None
113,6,4056,2025-09-24,Withdrawal,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,19,95,0,0,1,0.0,14.0,Normal,None
114,6,3463,2025-09-11,Deposit,Completed,Russia,Russia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,High,50,Bank Statement,Pending,2025-08-24,32,95,0,0,1,0.0,14.0,Normal,None
115,6,3589,2025-07-21,Withdrawal,Completed,Russia,Australia,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,Low,91,Bank Statement,Pending,2025-08-24,84,95,1,0,1,0.05210346042305769,0.0,Normal,None
116,6,3805,2025-10-13,Deposit,Completed,Russia,Germany,Client_6,Russia,34,Pending,Corporate,2025-07-10,High,50,Low,94,Bank Statement,Pending,2025-08-24,0,95,1,0,1,0.05210346042305769,0.0,Normal,None
