transaction_id,client_id,transaction_amount,origin_country,destination_country,transaction_date,transaction_risk_score,triggered_rules
41,2,42972,Nigeria,Nigeria,2025-09-03,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
42,2,3222,Nigeria,Nigeria,2025-10-07,0.9,High-Risk Country (Destination)(0.9)
43,2,43998,Nigeria,Nigeria,2025-10-05,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
44,2,3573,Nigeria,Nigeria,2025-08-12,0.9,High-Risk Country (Destination)(0.9)
45,2,3117,Nigeria,Nigeria,2025-08-06,0.9,High-Risk Country (Destination)(0.9)
46,2,3036,Nigeria,Nigeria,2025-08-02,0.9,High-Risk Country (Destination)(0.9)
47,2,3630,Nigeria,Nigeria,2025-10-05,0.9,High-Risk Country (Destination)(0.9)
48,2,4686,Nigeria,Nigeria,2025-08-13,0.9,High-Risk Country (Destination)(0.9)
49,2,2498,Nigeria,Nigeria,2025-10-06,0.9,High-Risk Country (Destination)(0.9)
50,2,3492,Nigeria,Australia,2025-09-24,0.0,None
51,2,3270,Nigeria,UK,2025-07-16,0.0,None
52,2,3895,Nigeria,Nigeria,2025-08-31,0.9,High-Risk Country (Destination)(0.9)
53,2,2834,Nigeria,Nigeria,2025-08-01,0.9,High-Risk Country (Destination)(0.9)
54,2,3781,Nigeria,Nigeria,2025-08-27,0.9,High-Risk Country (Destination)(0.9)
55,2,3630,Nigeria,Nigeria,2025-09-22,0.9,High-Risk Country (Destination)(0.9)
56,2,3447,Nigeria,Nigeria,2025-09-03,0.9,High-Risk Country (Destination)(0.9)
57,2,4105,Nigeria,Russia,2025-07-28,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
58,2,2262,Nigeria,Nigeria,2025-07-28,0.9,High-Risk Country (Destination)(0.9)
59,2,4118,Nigeria,Nigeria,2025-10-04,0.9,High-Risk Country (Destination)(0.9)
60,2,3473,Nigeria,Nigeria,2025-08-13,0.9,High-Risk Country (Destination)(0.9)
61,2,2903,Nigeria,Nigeria,2025-07-26,0.9,High-Risk Country (Destination)(0.9)
62,2,3489,Nigeria,USA,2025-08-21,0.0,None
63,2,4819,Nigeria,Nigeria,2025-08-26,0.9,High-Risk Country (Destination)(0.9)
64,2,2208,Nigeria,Russia,2025-07-21,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
65,2,4048,Nigeria,Nigeria,2025-08-19,0.9,High-Risk Country (Destination)(0.9)
66,2,4640,Nigeria,Switzerland,2025-07-28,0.0,None
67,3,4895,Russia,Russia,2025-08-07,0.9,High-Risk Country (Destination)(0.9)
68,3,28984,Russia,Russia,2025-09-25,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
69,3,4312,Russia,Russia,2025-09-22,0.9,High-Risk Country (Destination)(0.9)
70,3,3598,Russia,UK,2025-08-29,0.0,None
71,3,3641,Russia,UK,2025-08-16,0.0,None
72,4,3405,Australia,Australia,2025-09-06,0.0,None
73,4,3362,Australia,Australia,2025-08-10,0.0,None
74,4,2100,Australia,Australia,2025-10-05,0.0,None
75,4,2753,Australia,Australia,2025-07-16,0.0,None
76,4,2155,Australia,Australia,2025-08-17,0.0,None
77,4,4842,Australia,Australia,2025-09-21,0.0,None
78,4,2313,Australia,Australia,2025-09-27,0.0,None
79,4,4735,Australia,Australia,2025-10-01,0.0,None
80,4,2348,Australia,Australia,2025-09-18,0.0,None
81,4,3840,Australia,Australia,2025-08-28,0.0,None
82,4,4502,Australia,Australia,2025-07-24,0.0,None
83,4,4056,Australia,Australia,2025-08-22,0.0,None
84,4,4623,Australia,Australia,2025-09-24,0.0,None
85,4,3711,Australia,Russia,2025-09-14,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
86,4,2833,Australia,Australia,2025-08-20,0.0,None
87,4,4262,Australia,Australia,2025-08-31,0.0,None
88,4,2432,Australia,Australia,2025-09-05,0.0,None
89,4,2938,Australia,Australia,2025-09-27,0.0,None
90,4,3541,Australia,Australia,2025-09-26,0.0,None
91,4,33698,Australia,Australia,2025-08-04,0.8,High Transaction Amount(0.8)
92,4,48765,Australia,Australia,2025-09-22,0.8,High Transaction Amount(0.8)
93,4,2920,Australia,Australia,2025-10-08,0.0,None
94,4,3312,Australia,Australia,2025-09-13,0.0,None
95,4,29254,Australia,Australia,2025-07-28,0.8,High Transaction Amount(0.8)
96,4,2572,Australia,China,2025-08-02,0.0,None
97,4,2215,Australia,Germany,2025-07-17,0.0,None
98,4,23877,Australia,Australia,2025-10-03,0.8,High Transaction Amount(0.8)
99,4,3915,Australia,Australia,2025-09-02,0.0,None
100,4,4364,Australia,Australia,2025-09-21,0.0,None
101,4,4800,Australia,Australia,2025-08-27,0.0,None
102,5,49462,Nigeria,Nigeria,2025-08-21,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
103,5,3889,Nigeria,Nigeria,2025-10-04,0.9,High-Risk Country (Destination)(0.9)
104,5,3190,Nigeria,Nigeria,2025-10-09,0.9,High-Risk Country (Destination)(0.9)
105,5,3695,Nigeria,Nigeria,2025-09-30,0.9,High-Risk Country (Destination)(0.9)
106,5,3503,Nigeria,Nigeria,2025-09-28,0.9,High-Risk Country (Destination)(0.9)
107,5,23528,Nigeria,Australia,2025-08-07,0.8,High Transaction Amount(0.8)
108,6,2037,Russia,Russia,2025-09-17,0.9,High-Risk Country (Destination)(0.9)
109,6,3183,Russia,Russia,2025-08-19,0.9,High-Risk Country (Destination)(0.9)
110,6,3794,Russia,Russia,2025-09-04,0.9,High-Risk Country (Destination)(0.9)
111,6,25471,Russia,Russia,2025-09-16,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
112,6,2066,Russia,Russia,2025-08-26,0.9,High-Risk Country (Destination)(0.9)
113,6,4056,Russia,Russia,2025-09-24,0.9,High-Risk Country (Destination)(0.9)
114,6,3463,Russia,Russia,2025-09-11,0.9,High-Risk Country (Destination)(0.9)
115,6,3589,Russia,Australia,2025-07-21,0.0,None
116,6,3805,Russia,Germany,2025-10-13,0.0,None
117,6,3477,Russia,Russia,2025-09-09,0.9,High-Risk Country (Destination)(0.9)
118,6,3826,Russia,Russia,2025-09-06,0.9,High-Risk Country (Destination)(0.9)
119,6,35218,Russia,Russia,2025-08-24,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
120,6,43690,Russia,Russia,2025-09-01,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
121,6,3219,Russia,Russia,2025-09-23,0.9,High-Risk Country (Destination)(0.9)
122,6,2096,Russia,Russia,2025-09-02,0.9,High-Risk Country (Destination)(0.9)
123,6,36329,Russia,Russia,2025-08-14,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
124,6,2901,Russia,Russia,2025-07-18,0.9,High-Risk Country (Destination)(0.9)
125,6,2166,Russia,Russia,2025-09-09,0.9,High-Risk Country (Destination)(0.9)
126,6,4606,Russia,Russia,2025-07-19,0.9,High-Risk Country (Destination)(0.9)
127,6,2370,Russia,China,2025-09-14,0.0,None
128,6,37974,Russia,USA,2025-10-03,0.8,High Transaction Amount(0.8)
129,6,3122,Russia,UAE,2025-07-25,0.0,None
130,6,4922,Russia,Russia,2025-10-02,0.9,High-Risk Country (Destination)(0.9)
131,6,2245,Russia,Nigeria,2025-08-01,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
132,6,2100,Russia,Russia,2025-10-06,0.9,High-Risk Country (Destination)(0.9)
133,6,2906,Russia,Russia,2025-09-14,0.9,High-Risk Country (Destination)(0.9)
134,6,4105,Russia,Russia,2025-08-12,0.9,High-Risk Country (Destination)(0.9)
135,6,2530,Russia,Russia,2025-09-10,0.9,High-Risk Country (Destination)(0.9)
136,7,3202,Nigeria,Nigeria,2025-09-23,0.9,High-Risk Country (Destination)(0.9)
137,7,3092,Nigeria,Nigeria,2025-08-25,0.9,High-Risk Country (Destination)(0.9)
138,7,3856,Nigeria,Nigeria,2025-08-07,0.9,High-Risk Country (Destination)(0.9)
139,7,2299,Nigeria,Nigeria,2025-07-19,0.9,High-Risk Country (Destination)(0.9)
140,7,2580,Nigeria,Nigeria,2025-08-15,0.9,High-Risk Country (Destination)(0.9)
141,7,3952,Nigeria,Nigeria,2025-10-08,0.9,High-Risk Country (Destination)(0.9)
142,7,2501,Nigeria,Nigeria,2025-09-14,0.9,High-Risk Country (Destination)(0.9)
143,7,2245,Nigeria,Nigeria,2025-07-25,0.9,High-Risk Country (Destination)(0.9)
144,7,2949,Nigeria,Nigeria,2025-07-29,0.9,High-Risk Country (Destination)(0.9)
145,7,3198,Nigeria,Nigeria,2025-08-18,0.9,High-Risk Country (Destination)(0.9)
146,7,3187,Nigeria,Nigeria,2025-08-06,0.9,High-Risk Country (Destination)(0.9)
147,7,4854,Nigeria,Nigeria,2025-10-09,0.9,High-Risk Country (Destination)(0.9)
148,7,42210,Nigeria,Nigeria,2025-09-05,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
149,7,3026,Nigeria,Nigeria,2025-07-25,0.9,High-Risk Country (Destination)(0.9)
150,7,4631,Nigeria,Nigeria,2025-08-02,0.9,High-Risk Country (Destination)(0.9)
151,7,3079,Nigeria,Russia,2025-09-14,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
152,7,2395,Nigeria,Nigeria,2025-10-12,0.9,High-Risk Country (Destination)(0.9)
153,7,2201,Nigeria,Nigeria,2025-07-23,0.9,High-Risk Country (Destination)(0.9)
154,7,3446,Nigeria,UK,2025-08-01,0.0,None
155,7,4656,Nigeria,Nigeria,2025-09-22,0.9,High-Risk Country (Destination)(0.9)
156,7,3245,Nigeria,Nigeria,2025-09-26,0.9,High-Risk Country (Destination)(0.9)
157,7,2689,Nigeria,Nigeria,2025-08-23,0.9,High-Risk Country (Destination)(0.9)
158,7,4679,Nigeria,Nigeria,2025-07-18,0.9,High-Risk Country (Destination)(0.9)
159,7,18384,Nigeria,Nigeria,2025-09-17,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
160,7,4858,Nigeria,Nigeria,2025-10-01,0.9,High-Risk Country (Destination)(0.9)
161,7,4350,Nigeria,Nigeria,2025-08-02,0.9,High-Risk Country (Destination)(0.9)
162,7,27974,Nigeria,Nigeria,2025-09-05,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
163,8,35587,Nigeria,Germany,2025-08-26,0.8,High Transaction Amount(0.8)
164,8,3370,Nigeria,Nigeria,2025-07-16,0.9,High-Risk Country (Destination)(0.9)
165,8,4246,Nigeria,Nigeria,2025-07-27,0.9,High-Risk Country (Destination)(0.9)
166,8,24635,Nigeria,Nigeria,2025-08-27,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
167,8,3352,Nigeria,Nigeria,2025-09-27,0.9,High-Risk Country (Destination)(0.9)
168,8,4665,Nigeria,Nigeria,2025-08-03,0.9,High-Risk Country (Destination)(0.9)
169,8,3651,Nigeria,Nigeria,2025-09-30,0.9,High-Risk Country (Destination)(0.9)
170,8,4742,Nigeria,Nigeria,2025-10-05,0.9,High-Risk Country (Destination)(0.9)
171,8,49776,Nigeria,Nigeria,2025-07-25,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
172,8,2148,Nigeria,Nigeria,2025-09-29,0.9,High-Risk Country (Destination)(0.9)
173,8,4352,Nigeria,China,2025-10-08,0.0,None
174,8,2619,Nigeria,Nigeria,2025-08-17,0.9,High-Risk Country (Destination)(0.9)
175,8,3725,Nigeria,Nigeria,2025-07-23,0.9,High-Risk Country (Destination)(0.9)
176,8,29650,Nigeria,Nigeria,2025-07-28,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
177,8,4345,Nigeria,Australia,2025-09-13,0.0,None
178,8,4844,Nigeria,Russia,2025-09-20,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
179,8,2672,Nigeria,Nigeria,2025-09-29,0.9,High-Risk Country (Destination)(0.9)
180,8,4099,Nigeria,Nigeria,2025-10-13,0.9,High-Risk Country (Destination)(0.9)
181,8,4467,Nigeria,Nigeria,2025-09-10,0.9,High-Risk Country (Destination)(0.9)
182,8,2613,Nigeria,Nigeria,2025-10-04,0.9,High-Risk Country (Destination)(0.9)
183,8,3840,Nigeria,Nigeria,2025-08-20,0.9,High-Risk Country (Destination)(0.9)
184,8,41253,Nigeria,Nigeria,2025-10-09,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
185,8,4233,Nigeria,Nigeria,2025-08-06,0.9,High-Risk Country (Destination)(0.9)
186,8,3204,Nigeria,Germany,2025-10-07,0.0,None
187,8,4608,Nigeria,Nigeria,2025-09-17,0.9,High-Risk Country (Destination)(0.9)
188,8,18818,Nigeria,Nigeria,2025-07-31,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
189,8,4962,Nigeria,Nigeria,2025-10-07,0.9,High-Risk Country (Destination)(0.9)
190,8,42406,Nigeria,UAE,2025-08-13,0.8,High Transaction Amount(0.8)
191,8,2015,Nigeria,Nigeria,2025-08-30,0.9,High-Risk Country (Destination)(0.9)
192,8,3238,Nigeria,Nigeria,2025-09-11,0.9,High-Risk Country (Destination)(0.9)
193,9,3150,Switzerland,Switzerland,2025-07-27,0.0,None
194,9,4025,Switzerland,Switzerland,2025-07-16,0.0,None
195,9,4844,Switzerland,Switzerland,2025-09-29,0.0,None
196,9,28302,Switzerland,Switzerland,2025-09-19,0.8,High Transaction Amount(0.8)
197,9,2832,Switzerland,Switzerland,2025-10-03,0.0,None
198,9,32135,Switzerland,Switzerland,2025-09-15,0.8,High Transaction Amount(0.8)
199,9,2656,Switzerland,Switzerland,2025-09-09,0.0,None
200,9,2256,Switzerland,Switzerland,2025-09-11,0.0,None
201,9,3605,Switzerland,Switzerland,2025-10-13,0.0,None
202,9,3596,Switzerland,Switzerland,2025-10-11,0.0,None
203,9,3631,Switzerland,Switzerland,2025-08-15,0.0,None
204,9,26289,Switzerland,Switzerland,2025-09-14,0.8,High Transaction Amount(0.8)
205,9,2887,Switzerland,Switzerland,2025-09-26,0.0,None
206,9,3175,Switzerland,Switzerland,2025-07-28,0.0,None
207,9,2840,Switzerland,Canada,2025-10-08,0.0,None
208,9,3841,Switzerland,Switzerland,2025-08-23,0.0,None
209,9,2591,Switzerland,Switzerland,2025-10-11,0.0,None
210,9,3946,Switzerland,Switzerland,2025-07-20,0.0,None
211,9,4027,Switzerland,Switzerland,2025-08-11,0.0,None
212,9,4993,Switzerland,Switzerland,2025-08-31,0.0,None
213,10,36578,Germany,Switzerland,2025-09-25,0.8,High Transaction Amount(0.8)
214,10,3873,Germany,Germany,2025-09-24,0.0,None
215,10,41385,Germany,Germany,2025-08-21,0.8,High Transaction Amount(0.8)
216,10,2381,Germany,Germany,2025-08-13,0.0,None
217,10,2431,Germany,Germany,2025-10-01,0.0,None
218,10,39815,Germany,Germany,2025-08-03,0.8,High Transaction Amount(0.8)
219,10,3694,Germany,Germany,2025-09-29,0.0,None
220,10,2831,Germany,Germany,2025-09-05,0.0,None
221,10,4242,Germany,Russia,2025-10-13,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
222,10,48664,Germany,Germany,2025-09-21,0.8,High Transaction Amount(0.8)
223,10,2948,Germany,USA,2025-07-19,0.0,None
224,10,2300,Germany,Germany,2025-08-19,0.0,None
225,10,4390,Germany,Germany,2025-10-05,0.0,None
226,10,4214,Germany,Germany,2025-07-27,0.0,None
227,10,4003,Germany,Germany,2025-08-14,0.0,None
228,10,4639,Germany,Germany,2025-07-25,0.0,None
229,10,4021,Germany,Germany,2025-09-22,0.0,None
230,10,3508,Germany,Germany,2025-10-03,0.0,None
231,10,3742,Germany,Germany,2025-10-08,0.0,None
232,10,2333,Germany,Germany,2025-08-03,0.0,None
233,10,3071,Germany,China,2025-08-10,0.0,None
234,10,4775,Germany,Germany,2025-07-28,0.0,None
235,10,2262,Germany,Germany,2025-08-06,0.0,None
236,10,3414,Germany,Germany,2025-09-29,0.0,None
237,10,2433,Germany,Germany,2025-09-28,0.0,None
238,10,2709,Germany,Germany,2025-10-01,0.0,None
239,10,4814,Germany,Germany,2025-08-17,0.0,None
240,10,3760,Germany,Germany,2025-07-20,0.0,None
241,10,3768,Germany,Germany,2025-07-19,0.0,None
242,10,4910,Germany,Germany,2025-08-05,0.0,None
243,10,3897,Germany,Germany,2025-09-08,0.0,None
244,10,3848,Germany,Germany,2025-09-21,0.0,None
245,10,3931,Germany,Germany,2025-09-02,0.0,None
246,10,4888,Germany,Russia,2025-08-21,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
247,10,2086,Germany,Germany,2025-08-11,0.0,None
248,10,24546,Germany,Germany,2025-09-25,0.8,High Transaction Amount(0.8)
249,10,2083,Germany,Germany,2025-10-13,0.0,None
250,10,2258,Germany,Nigeria,2025-07-26,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
251,10,4480,Germany,Germany,2025-10-04,0.0,None
252,10,4573,Germany,Germany,2025-08-31,0.0,None
253,11,4418,Germany,Germany,2025-09-11,0.0,None
254,11,4582,Germany,Nigeria,2025-09-23,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
255,11,3397,Germany,Germany,2025-08-09,0.0,None
256,11,28361,Germany,Russia,2025-09-11,2.6,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
257,11,4448,Germany,Germany,2025-09-10,0.0,None
258,12,3861,Switzerland,Switzerland,2025-10-07,0.0,None
259,12,4534,Switzerland,Switzerland,2025-09-09,0.0,None
260,12,2990,Switzerland,USA,2025-09-11,0.0,None
261,12,19161,Switzerland,Switzerland,2025-08-31,0.8,High Transaction Amount(0.8)
262,12,3552,Switzerland,Switzerland,2025-09-16,0.0,None
263,12,4151,Switzerland,Switzerland,2025-08-29,0.0,None
264,12,2596,Switzerland,Switzerland,2025-09-29,0.0,None
265,12,35482,Switzerland,Switzerland,2025-08-09,0.8,High Transaction Amount(0.8)
266,12,2062,Switzerland,Canada,2025-09-22,0.0,None
267,12,3350,Switzerland,USA,2025-09-12,0.0,None
268,12,2125,Switzerland,Switzerland,2025-10-02,0.0,None
269,12,44550,Switzerland,UAE,2025-07-16,0.8,High Transaction Amount(0.8)
270,12,3606,Switzerland,Switzerland,2025-08-20,0.0,None
271,12,4215,Switzerland,Switzerland,2025-08-27,0.0,None
272,12,4737,Switzerland,Switzerland,2025-07-30,0.0,None
273,13,2855,Canada,Canada,2025-07-22,0.0,None
274,13,3526,Canada,Canada,2025-09-23,0.0,None
275,13,33003,Canada,UK,2025-09-30,0.8,High Transaction Amount(0.8)
276,13,3029,Canada,Canada,2025-10-07,0.0,None
277,13,3396,Canada,China,2025-08-16,0.0,None
278,13,3499,Canada,Canada,2025-07-16,0.0,None
279,13,3465,Canada,Canada,2025-07-24,0.0,None
280,13,4978,Canada,Germany,2025-08-24,0.0,None
281,13,2164,Canada,Canada,2025-09-02,0.0,None
282,13,3747,Canada,Canada,2025-09-01,0.0,None
283,13,4910,Canada,Switzerland,2025-09-08,0.0,None
284,13,4349,Canada,Canada,2025-08-28,0.0,None
285,13,4350,Canada,Canada,2025-07-16,0.0,None
286,13,11546,Canada,Canada,2025-09-25,0.8,High Transaction Amount(0.8)
287,13,3595,Canada,Australia,2025-09-23,0.0,None
288,13,4480,Canada,Canada,2025-09-06,0.0,None
289,13,2231,Canada,Canada,2025-08-19,0.0,None
290,13,2856,Canada,Canada,2025-09-29,0.0,None
291,13,4835,Canada,Canada,2025-09-13,0.0,None
292,13,3946,Canada,Canada,2025-10-08,0.0,None
293,13,4956,Canada,Canada,2025-10-01,0.0,None
294,13,48568,Canada,Canada,2025-08-17,0.8,High Transaction Amount(0.8)
295,13,3265,Canada,Canada,2025-09-10,0.0,None
296,13,4577,Canada,Canada,2025-08-16,0.0,None
297,13,3872,Canada,Canada,2025-07-21,0.0,None
298,13,3626,Canada,UK,2025-08-08,0.0,None
299,13,4851,Canada,Canada,2025-08-03,0.0,None
300,13,4955,Canada,USA,2025-08-23,0.0,None
301,13,4655,Canada,Canada,2025-10-03,0.0,None
302,13,4949,Canada,UK,2025-07-19,0.0,None
303,13,12684,Canada,Canada,2025-07-31,0.8,High Transaction Amount(0.8)
304,13,13774,Canada,Canada,2025-09-20,0.8,High Transaction Amount(0.8)
305,13,4256,Canada,Canada,2025-08-29,0.0,None
306,13,24628,Canada,Canada,2025-08-20,0.8,High Transaction Amount(0.8)
307,13,34086,Canada,Canada,2025-08-07,0.8,High Transaction Amount(0.8)
308,13,4525,Canada,Canada,2025-07-18,0.0,None
309,13,2161,Canada,Canada,2025-08-01,0.0,None
310,13,47252,Canada,USA,2025-10-02,0.8,High Transaction Amount(0.8)
311,13,3021,Canada,Canada,2025-09-04,0.0,None
312,13,2522,Canada,Canada,2025-09-06,0.0,None
313,13,4196,Canada,Canada,2025-10-10,0.0,None
314,14,2524,UK,UK,2025-10-09,0.0,None
315,14,3949,UK,UK,2025-09-04,0.0,None
316,14,2016,UK,UK,2025-09-19,0.0,None
317,14,16511,UK,UK,2025-09-21,0.8,High Transaction Amount(0.8)
318,14,2712,UK,UK,2025-09-26,0.0,None
319,14,3002,UK,UK,2025-09-24,0.0,None
320,14,2909,UK,UK,2025-08-30,0.0,None
321,14,4222,UK,Russia,2025-07-28,1.8,"High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
322,14,3628,UK,UK,2025-09-29,0.0,None
323,14,3383,UK,UK,2025-07-29,0.0,None
324,14,3182,UK,UK,2025-07-21,0.0,None
325,14,2622,UK,UK,2025-08-22,0.0,None
326,14,4036,UK,USA,2025-08-09,0.0,None
327,14,12124,UK,UK,2025-09-26,0.8,High Transaction Amount(0.8)
328,14,3608,UK,Australia,2025-09-12,0.0,None
329,14,4838,UK,Switzerland,2025-07-26,0.0,None
330,14,2930,UK,UK,2025-07-27,0.0,None
331,14,2026,UK,UK,2025-10-05,0.0,None
332,14,3493,UK,UK,2025-09-21,0.0,None
333,14,25579,UK,UK,2025-10-02,0.8,High Transaction Amount(0.8)
334,14,4593,UK,China,2025-08-02,0.0,None
335,14,3884,UK,UK,2025-08-17,0.0,None
336,14,43823,UK,UK,2025-08-19,0.8,High Transaction Amount(0.8)
337,14,3128,UK,UK,2025-09-20,0.0,None
338,14,3704,UK,UK,2025-07-20,0.0,None
339,14,3294,UK,UAE,2025-09-16,0.0,None
340,14,47606,UK,UK,2025-09-13,0.8,High Transaction Amount(0.8)
341,14,4493,UK,UK,2025-09-05,0.0,None
342,14,2662,UK,UK,2025-10-09,0.0,None
343,14,3929,UK,UK,2025-09-03,0.0,None
344,14,2787,UK,UK,2025-08-21,0.0,None
345,14,2020,UK,UK,2025-08-10,0.0,None
346,14,3445,UK,UK,2025-10-13,0.0,None
347,14,4596,UK,Australia,2025-10-12,0.0,None
348,14,3406,UK,UK,2025-08-17,0.0,None
349,14,4056,UK,UK,2025-10-11,0.0,None
350,14,14209,UK,UK,2025-09-18,0.8,High Transaction Amount(0.8)
351,14,31206,UK,UK,2025-09-20,0.8,High Transaction Amount(0.8)
352,14,2187,UK,USA,2025-10-02,0.0,None
353,14,4263,UK,UK,2025-08-26,0.0,None
354,14,2328,UK,UK,2025-08-31,0.0,None
355,14,3973,UK,UK,2025-07-21,0.0,None
356,14,3671,UK,Australia,2025-07-21,0.0,None
357,14,3716,UK,UK,2025-09-03,0.0,None
358,14,2998,UK,UK,2025-08-02,0.0,None
359,14,4884,UK,UK,2025-09-20,0.0,None
360,14,2624,UK,UK,2025-09-01,0.0,None
361,15,3308,Canada,Canada,2025-10-10,0.0,None
